problem_id,checked,disproved,unsupported,max_bound,max_bound_time,counterexample
1783,0,0,914,[0],0,
1789,0,0,396,[0],0,
607,0,0,798,[0],0,
1084,0,0,918,[0],0,
1083,0,0,874,[0],0,
603,0,0,471,[0],0,
596,0,0,168,[0],0,
1148,0,0,197,[0],0,
1149,0,0,322,[0],0,
577,0,0,288,[0],0,
550,0,0,729,[0],0,
1211,0,0,431,[0],0,
1587,0,0,774,[0],0,
585,0,0,335,[0],0,
1809,0,0,575,[0],0,
1683,0,0,38,[0],0,
627,0,0,68,[0],0,
175,0,0,117,[0],0,
1421,0,0,403,[0],0,
1777,0,0,166,[0],0,
1715,0,0,442,[0],0,
1731,0,0,661,[0],0,
1581,0,0,786,[0],0,
1251,0,0,769,[0],0,
182,0,0,265,[0],0,
183,0,0,223,[0],0,
1113,0,0,341,[0],0,
1468,0,0,670,[0],0,
1398,0,0,634,[0],0,
1378,0,0,351,[0],0,
1350,0,0,215,[0],0,
1677,0,0,437,[0],0,
1693,0,0,80,[0],0,
1075,0,0,445,[0],0,
584,0,0,94,[0],0,
1097,0,0,532,[0],0,
1173,0,0,435,[0],0,
1132,0,0,770,[0],0,
610,0,0,180,[0],0,
1440,0,0,734,[0],0,
613,0,0,252,[0],0,
614,0,0,544,[0],0,
1050,0,0,164,[0],0,
595,0,0,49,[0],0,
1141,0,0,363,[0],0,
1435,0,0,355,[0],0,
1795,0,0,220,[0],0,
1127,0,0,319,[0],0,
1747,0,0,495,[0],0,
1045,0,0,366,[0],0,
1264,0,0,595,[0],0,
619,0,0,438,[0],0,
1364,0,0,702,[0],0,
511,172,0,1,[0],0,
512,0,0,577,[0],0,
1661,0,0,336,[0],0,
